step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.551695446452067,0,0.0,0.9269199082522834,0,0.0
10.0,0,0.0,0.0,11.857957872116643,0,0.0,0.8760922266641337,0,0.0
15.0,4,8.0,0.4444444444444444,7.209890208968078,4,8.0,0.42826851184835685,4,8.0
20.0,7,30.0,1.6666666666666667,6.464919123107585,7,30.0,0.4118915787602335,7,30.0
25.0,9,67.0,3.0454545454545454,5.5755097643239315,9,67.0,0.3355002055934095,9,67.0
30.0,13,128.0,6.095238095238095,4.466893535908674,13,128.0,0.26154454693809776,13,128.0
35.0,13,157.0,6.826086956521739,2.5593548085818982,13,157.0,0.21135305223839806,13,157.0
40.0,15,189.0,6.517241379310345,5.527414865482235,15,189.0,0.3414915226641086,15,189.0
45.0,17,267.0,8.090909090909092,5.1787602036229075,17,267.0,0.2911384676735661,17,267.0
50.0,19,307.0,9.303030303030303,3.0396912876948456,19,307.0,0.1720032367159912,19,307.0
55.0,16,221.0,6.314285714285714,4.270300528616177,16,329.0,0.23067901831577542,16,329.0
60.0,14,267.0,7.628571428571429,5.125637328311803,14,311.0,0.14825823044707925,14,311.0
65.0,14,310.0,7.948717948717949,5.54910011609861,14,354.0,0.2753778846483665,14,354.0
70.0,19,362.0,10.969696969696969,3.5779027418154037,19,406.0,0.15678498869642749,19,406.0
75.0,25,473.0,11.0,4.897780339564913,25,517.0,0.2741984550538982,25,517.0
80.0,25,574.0,14.35,3.7162249557205307,25,598.0,0.2421779842209762,25,598.0
85.0,19,545.0,12.11111111111111,3.705832647260742,19,646.0,0.20500679907275904,19,646.0
90.0,20,605.0,13.444444444444445,4.8683972838548755,20,671.0,0.18661191501477337,20,671.0
95.0,21,548.0,11.416666666666666,4.5929279767540185,21,614.0,0.18734049035598138,21,614.0
100.0,17,152.0,3.5348837209302326,3.9676019720022118,17,567.0,0.2054480459274571,17,567.0
105.0,20,190.0,4.222222222222222,4.355941159069082,20,361.0,0.16831650548448054,20,361.0
110.0,23,273.0,5.46,4.77428336790189,23,420.0,0.23865214264456638,23,420.0
115.0,21,251.0,5.340425531914893,4.6501313919230345,21,451.0,0.23635466320120144,21,451.0
120.0,15,271.0,6.022222222222222,4.941321295407889,15,465.0,0.19957400115780966,15,465.0
125.0,21,281.0,5.9787234042553195,4.6019307040358655,21,481.0,0.21447903838885424,21,481.0
130.0,19,280.0,6.666666666666667,3.0150141415426566,19,497.0,0.14278957353685154,19,497.0
