step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.751676817471163,0,0.0,0.5069040182221108,0,0.0
10.0,0,0.0,0.0,11.33829098992641,0,0.0,0.8585216646075449,0,0.0
15.0,0,0.0,0.0,7.636003276449939,0,0.0,0.550925379283118,0,0.0
20.0,4,13.0,0.5416666666666666,4.740912981669006,4,13.0,0.3180384241829516,4,13.0
25.0,12,46.0,1.6428571428571428,6.723267837712492,12,46.0,0.4107777120470106,12,46.0
30.0,10,88.0,3.142857142857143,7.041554297127147,10,88.0,0.3379093161933317,10,88.0
35.0,12,140.0,5.0,6.061477088736429,12,140.0,0.2948058325607901,12,140.0
40.0,18,167.0,4.638888888888889,3.412394002163828,18,167.0,0.21238336078638934,18,167.0
45.0,17,232.0,6.444444444444445,5.264506057041408,17,232.0,0.33745811811397974,17,232.0
50.0,18,322.0,8.05,4.672639657004429,18,322.0,0.2829937356147976,18,322.0
55.0,30,372.0,8.454545454545455,1.9149050717940193,30,372.0,0.10197745004929537,30,372.0
60.0,26,496.0,11.80952380952381,3.433020833640385,26,496.0,0.17233168438609084,26,496.0
65.0,32,644.0,13.416666666666666,2.851333789519939,32,644.0,0.10943609296800708,32,644.0
70.0,33,705.0,14.6875,2.5614731206422063,33,705.0,0.1183167582301636,33,705.0
75.0,28,472.0,9.076923076923077,2.2014599995978106,28,761.0,0.11138109014973097,28,761.0
80.0,22,426.0,7.344827586206897,4.824062503899791,22,655.0,0.25147712098406666,22,655.0
85.0,26,522.0,8.557377049180328,5.464698359313691,26,652.0,0.26798724963194726,26,652.0
90.0,26,641.0,11.051724137931034,5.288519469484572,26,667.0,0.2419120944004777,26,667.0
95.0,29,682.0,12.178571428571429,3.638315704235274,29,692.0,0.1274142637220902,29,692.0
100.0,30,401.0,7.035087719298246,3.601516227495585,30,728.0,0.15357567372543396,30,728.0
105.0,22,338.0,6.2592592592592595,4.58113789290428,22,604.0,0.20032547116840035,22,604.0
110.0,22,431.0,7.183333333333334,4.869972298312244,22,539.0,0.1712124806799272,22,539.0
115.0,27,552.0,9.049180327868852,5.987850041129371,27,590.0,0.3040744939091161,27,590.0
120.0,26,682.0,12.4,6.200459787604032,26,692.0,0.28826047549275347,26,692.0
125.0,30,690.0,12.545454545454545,3.04736850749739,30,700.0,0.09369808701943322,30,700.0
130.0,31,610.0,11.296296296296296,3.432127053441638,31,707.0,0.1702491646391633,31,707.0
135.0,33,772.0,14.036363636363637,3.441532824866894,33,782.0,0.12779820789736435,33,782.0
